,tunit_code,tunit_name,y_2006,y_2014,dif
311,UKI4, ,5181710,2294714,-2886996
312,UKI5,Outer London - East and North East,3845378,2616970,-1228408
313,UKI6,Outer London - South,2665295,1415886,-1249409
314,UKI7,Outer London - West and North West,5759402,2296207,-3463195
315,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",4176357,3803248,-373109
316,UKJ2,"Surrey, East and West Sussex",4888191,4204586,-683605
317,UKJ3,Hampshire and Isle of Wight,3266096,3261016,-5080
318,UKJ4,Kent,4020690,2455756,-1564934
319,UKK1, ,4103540,4337570,234030
320,UKK2,Dorset and Somerset,3217590,1968229,-1249361
321,UKK3,Cornwall and Isles of Scilly,1416851,744164,-672687
322,UKK4,Devon,3465583,1646102,-1819481
323,UKL1,West Wales and the Valleys,4426588,3097994,-1328594
324,UKL2,East Wales,2183630,1835721,-347909
325,UKM2,Eastern Scotland,4937922,3246920,-1691002
326,UKM3,South Western Scotland,7238591,3710093,-3528498
327,UKM5,North Eastern Scotland,4160005,292637,-3867368
328,UKM6,Highlands and Islands,1112570,692899,-419671
329,UKN0, ,3209339,3043003,-166336
